model_ratio,accuracy,precision,recall
1.0,0.4111111111111111,0.3953488372093023,0.9714285714285714
1.1,0.4,0.39080459770114945,0.9714285714285714
1.2000000000000002,0.4222222222222222,0.39759036144578314,0.9428571428571428
1.3,0.45555555555555555,0.4146341463414634,0.9714285714285714
1.4000000000000001,0.4111111111111111,0.3953488372093023,0.9714285714285714
1.5,0.43333333333333335,0.40476190476190477,0.9714285714285714
1.6,0.4444444444444444,0.40963855421686746,0.9714285714285714
1.7000000000000002,0.43333333333333335,0.4024390243902439,0.9428571428571428
1.8,0.4888888888888889,0.43037974683544306,0.9714285714285714
1.9000000000000001,0.4222222222222222,0.39759036144578314,0.9428571428571428
2.0,0.45555555555555555,0.4146341463414634,0.9714285714285714
2.1,0.43333333333333335,0.4024390243902439,0.9428571428571428
2.2,0.5111111111111111,0.44,0.9428571428571428
2.3000000000000003,0.4111111111111111,0.39285714285714285,0.9428571428571428
2.4000000000000004,0.5111111111111111,0.44,0.9428571428571428
2.5,0.4666666666666667,0.4177215189873418,0.9428571428571428
2.6,0.4888888888888889,0.43037974683544306,0.9714285714285714
2.7,0.5222222222222223,0.4473684210526316,0.9714285714285714
2.8000000000000003,0.4777777777777778,0.42105263157894735,0.9142857142857143
2.9000000000000004,0.5333333333333333,0.4533333333333333,0.9714285714285714
3.0,0.5333333333333333,0.4533333333333333,0.9714285714285714
3.1,0.5888888888888889,0.48484848484848486,0.9142857142857143
3.2,0.5,0.4358974358974359,0.9714285714285714
3.3000000000000003,0.6,0.4927536231884058,0.9714285714285714
3.4000000000000004,0.5,0.4358974358974359,0.9714285714285714
3.5,0.6111111111111112,0.5,0.9428571428571428
3.6,0.5222222222222223,0.44594594594594594,0.9428571428571428
3.7,0.5333333333333333,0.4520547945205479,0.9428571428571428
3.8000000000000003,0.6333333333333333,0.515625,0.9428571428571428
3.9000000000000004,0.6333333333333333,0.515625,0.9428571428571428
4.0,0.5888888888888889,0.48484848484848486,0.9142857142857143
4.1000000000000005,0.6333333333333333,0.5161290322580645,0.9142857142857143
4.2,0.5111111111111111,0.4383561643835616,0.9142857142857143
4.3,0.5888888888888889,0.48484848484848486,0.9142857142857143
4.4,0.6111111111111112,0.5,0.9142857142857143
4.5,0.6,0.49230769230769234,0.9142857142857143
4.6000000000000005,0.5555555555555556,0.4647887323943662,0.9428571428571428
4.7,0.5666666666666667,0.47058823529411764,0.9142857142857143
4.800000000000001,0.6555555555555556,0.532258064516129,0.9428571428571428
4.9,0.5777777777777777,0.47761194029850745,0.9142857142857143
5.0,0.5777777777777777,0.47692307692307695,0.8857142857142857
5.1000000000000005,0.5111111111111111,0.44,0.9428571428571428
5.2,0.5666666666666667,0.46875,0.8571428571428571
5.300000000000001,0.6,0.4925373134328358,0.9428571428571428
5.4,0.6222222222222222,0.5074626865671642,0.9714285714285714
5.5,0.6111111111111112,0.5,0.8857142857142857
5.6000000000000005,0.6333333333333333,0.5166666666666667,0.8857142857142857
5.7,0.6111111111111112,0.5,0.8571428571428571
5.800000000000001,0.5888888888888889,0.4852941176470588,0.9428571428571428
5.9,0.6111111111111112,0.5,0.9428571428571428
6.0,0.6333333333333333,0.5166666666666667,0.8857142857142857
